number,name,status
590,Vectorcall: a fast calling protocol for CPython,Standards Track
605,A rolling feature release stream for CPython,Informational
588,GitHub Issues Migration Plan,Draft
585,Type Hinting Generics In Standard Collections,Standards Track
592,Adding “Yank” Support to the Simple API,Final
587,Python Initialization Configuration,Final
582,Python local packages directory,Standards Track
583,A Concurrency Memory Model for Python,Withdrawn
584,Add Union Operators To dict,Standards Track
586,Literal Types,Final
579,Refactoring C functions and methods,Informational
578,Python Runtime Audit Hooks,Standards Track
581,Using GitHub Issues for CPython,Final
576,Rationalize Built-in function classes,Standards Track
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Standards Track
574,Pickle protocol 5 with out-of-band data,Standards Track
577,Augmented Assignment Expressions,Withdrawn
580,The C call protocol,Standards Track
573,Module State Access from C Extension Methods,Final
569,Python 3.8 Release Schedule,Active
571,The manylinux2010 Platform Tag,Superseded
575,Unifying function/method classes,Withdrawn
568,Generator-sensitivity for Context Variables,Deferred
565,Show DeprecationWarning in __main__,Final
566,Metadata for Python Software Packages 2.1,Final
570,Python Positional-Only Parameters,Final
564,Add new time functions with nanosecond resolution,Final
567,Context Variables,Final
562,Module __getattr__ and __dir__,Final
572,Assignment Expressions,Final
563,Postponed Evaluation of Annotations,Standards Track
559,Built-in noop(),Rejected
560,Core support for typing module and generic types,Final
561,Distributing and Packaging Type Information,Final
556,Threaded garbage collection,Deferred
555,Context-local variables (contextvars),Withdrawn
557,Data Classes,Final
552,Deterministic pycs,Final
553,Built-in breakpoint(),Final
558,Defined semantics for locals(),Withdrawn
551,Security transparency in the Python runtime,Withdrawn
549,Instance Descriptors,Standards Track
548,More Flexible Loop Control,Rejected
547,Running extension modules using the -m option,Deferred
550,Execution Context,Withdrawn
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Standards Track
554,Multiple Interpreters in the Stdlib,Standards Track
545,Python Documentation Translations,Final
542,Dot Notation Assignment In Function Header,Rejected
540,Add a new UTF-8 Mode,Standards Track
541,Package Index Name Retention,Final
544,Protocols: Structural subtyping (static duck typing),Final
537,Python 3.7 Release Schedule,Final
536,Final Grammar for Literal String Interpolation,Withdrawn
539,A New C-API for Thread-Local Storage in CPython,Standards Track
543,A Unified TLS API for Python,Withdrawn
535,Rich comparison chaining,Deferred
538,Coercing the legacy C locale to a UTF-8 based locale,Standards Track
534,Improved Errors for Missing Standard Library Modules,Deferred
530,Asynchronous Comprehensions,Standards Track
533,Deterministic cleanup for iterators,Standards Track
528,Change Windows console encoding to UTF-8,Final
532,A circuit breaking protocol and binary operators,Deferred
529,Change Windows filesystem encoding to UTF-8,Final
531,Existence checking operators,Withdrawn
527,Removing Un(der)used file types/extensions on PyPI,Final
526,Syntax for Variable Annotations,Final
523,Adding a frame evaluation API to CPython,Final
524,Make os.urandom() blocking on Linux,Final
525,Asynchronous Generators,Standards Track
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
520,Preserving Class Attribute Definition Order,Final
522,Allow BlockingIOError in security sensitive APIs,Rejected
519,Adding a file system path protocol,Final
518,Specifying Minimum Build System Requirements for Python Projects,Final
515,Underscores in Numeric Literals,Final
516,Build system abstraction for pip/conda etc,Rejected
514,Python registration in the Windows registry,Informational
517,A build-system independent format for source trees,Final
511,API for code transformers,Rejected
513,A Platform Tag for Portable Linux Built Distributions,Superseded
512,Migrating from hg.python.org to GitHub,Process
510,Specialize functions with guards,Rejected
508,Dependency specification for Python Software Packages,Final
507,Migrate CPython to Git and GitLab,Rejected
509,Add a private version to dict,Superseded
506,Adding A Secrets Module To The Standard Library,Final
503,Simple Repository API,Final
504,Using the System RNG by default,Withdrawn
505,None-aware operators,Deferred
500,A protocol for delegating datetime methods to their tzinfo implementations,Standards Track
501,General purpose string interpolation,Deferred
502,String Interpolation - Extended Discussion,Rejected
496,Environment Markers,Informational
497,A standard mechanism for backward compatibility,Process
498,Literal String Interpolation,Final
499,,Standards Track
493,HTTPS verification migration tools for Python 2.7,Standards Track
495,Local Time Disambiguation,Standards Track
491,The Wheel Binary Package Format 1.9,Standards Track
490,Chain exceptions at C level,Rejected
486,Make the Python Launcher aware of virtual environments,Final
487,Simpler customisation of class creation,Final
492,Coroutines with async and await syntax,Standards Track
489,Multi-phase extension module initialization,Final
488,Elimination of PYO files,Final
485,A Function for testing approximate equality,Final
482,Literature Overview for Type Hints,Informational
483,The Theory of Type Hints,Informational
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
494,Python 3.6 Release Schedule,Final
477,Backport ensurepip (PEP 453) to Python 2.7,Standards Track
478,Python 3.5 Release Schedule,Final
476,Enabling certificate verification by default for stdlib http clients,Final
473,Adding structured data to built-in exceptions,Rejected
475,Retry system calls failing with EINTR,Standards Track
474,Creating forge.python.org,Withdrawn
479,Change StopIteration handling inside generators,Final
472,Support for indexing with keyword arguments,Standards Track
466,Network Security Enhancements for Python 2.7.x,Final
468,Preserving the order of **kwargs in a function.,Standards Track
470,Removing External Hosting Support on PyPI,Final
471,os.scandir() function – a better and faster directory iterator,Standards Track
469,Migration of dict iteration code to Python 3,Withdrawn
467,Minor API improvements for binary sequences,Standards Track
480,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
464,Removal of the PyPI Mirror Authenticity API,Final
460,Add binary interpolation and formatting,Withdrawn
462,Core development workflow automation for CPython,Withdrawn
459,Standard Metadata Extensions for Python Software Packages,Withdrawn
461,Adding % formatting to bytes and bytearray,Final
